gamedetails,gamedetails-href,scoredetails,matchdate,CountryTeam1,Scoredetails,goaldetails
"3 - 1","http://soccerstats.us/games/250443/","24





    
    



Cavani 






    

    





    
  
  

    
    



Campbell 






    

    

54





    
    
    

    





    
  
  

    
    



Duarte 






    

    

57





    
    
    

    





    
  
  

    
    



Urena 






    

    

84","Saturday, June 14, 2014","[{""CountryTeam1"":""Costa Rica""},{""CountryTeam1"":""Uruguay""}]","[{""Scoredetails"":""24""},{""Scoredetails"":""54""},{""Scoredetails"":""57""},{""Scoredetails"":""84""}]","[{""goaldetails"":""24""},{""goaldetails"":""Cavani""},{""goaldetails"":""Campbell ""},{""goaldetails"":""54""},{""goaldetails"":""Duarte ""},{""goaldetails"":""57""},{""goaldetails"":""Urena ""},{""goaldetails"":""84""}]"
"0 - 0","http://soccerstats.us/games/250579/","","Wednesday, June 25, 2014","[{""CountryTeam1"":""Ecuador""},{""CountryTeam1"":""France""}]","[]","[]"
"4 - 2","http://soccerstats.us/games/250550/","Slimani 






    

    

26





    
    
    

    





    
  
  

    
    



Halliche 






    

    

28





    
    
    

    





    
  
  

    
    



Djabou 






    

    

38





    
    
    

    





    
  
  

    
    
    

    

50





    
    



Son Heung-min 






    

    





    
  
  

    
    



Brahimi 






    

    

62





    
    
    

    





    
  
  

    
    
    

    

72





    
    



Koo Ja-cheol","Sunday, June 22, 2014","[{""CountryTeam1"":""Algeria""},{""CountryTeam1"":""South Korea""}]","[{""Scoredetails"":""26""},{""Scoredetails"":""28""},{""Scoredetails"":""38""},{""Scoredetails"":""50""},{""Scoredetails"":""62""},{""Scoredetails"":""72""}]","[{""goaldetails"":""Slimani ""},{""goaldetails"":""26""},{""goaldetails"":""Halliche ""},{""goaldetails"":""28""},{""goaldetails"":""Djabou ""},{""goaldetails"":""38""},{""goaldetails"":""50""},{""goaldetails"":""Son Heung-min""},{""goaldetails"":""Brahimi ""},{""goaldetails"":""62""},{""goaldetails"":""72""},{""goaldetails"":""Koo Ja-cheol""}]"
"2 - 0","http://soccerstats.us/games/250487/","Vargas 






    

    

20





    
    
    

    





    
  
  

    
    



Aranguiz 






    

    

43","Wednesday, June 18, 2014","[{""CountryTeam1"":""Chile""},{""CountryTeam1"":""Spain""}]","[{""Scoredetails"":""20""},{""Scoredetails"":""43""}]","[{""goaldetails"":""Vargas ""},{""goaldetails"":""20""},{""goaldetails"":""Aranguiz ""},{""goaldetails"":""43""}]"
"1 - 2","http://soccerstats.us/games/250588/","31





    
    



Boye 


Own Goal





    

    





    
  
  

    
    



Gyan 






    

    

57





    
    
    

    





    
  
  

    
    
    

    

80





    
    



Ronaldo","Thursday, June 26, 2014","[{""CountryTeam1"":""Ghana""},{""CountryTeam1"":""Portugal""}]","[{""Scoredetails"":""31""},{""Scoredetails"":""57""},{""Scoredetails"":""80""}]","[{""goaldetails"":""31""},{""goaldetails"":""Boye""},{""goaldetails"":""Gyan ""},{""goaldetails"":""57""},{""goaldetails"":""80""},{""goaldetails"":""Ronaldo""}]"
"2 - 0","http://soccerstats.us/games/250636/","Rodríguez 






    

    

28





    
    
    

    





    
  
  

    
    



Rodríguez 






    

    

50","Saturday, June 28, 2014","[{""CountryTeam1"":""Colombia""},{""CountryTeam1"":""Uruguay""}]","[{""Scoredetails"":""28""},{""Scoredetails"":""50""}]","[{""goaldetails"":""Rodríguez ""},{""goaldetails"":""28""},{""goaldetails"":""Rodríguez ""},{""goaldetails"":""50""}]"
"3 - 1","http://soccerstats.us/games/250581/","Dzeko 






    

    

23





    
    
    

    





    
  
  

    
    



Pjanic 






    

    

59





    
    
    

    





    
  
  

    
    
    

    

82





    
    



Ghoochannejhad 






    

    





    
  
  

    
    



Vrsajevic 






    

    

83","Wednesday, June 25, 2014","[{""CountryTeam1"":""Bosnia and Herzegovina""},{""CountryTeam1"":""Iran""}]","[{""Scoredetails"":""23""},{""Scoredetails"":""59""},{""Scoredetails"":""82""},{""Scoredetails"":""83""}]","[{""goaldetails"":""Dzeko ""},{""goaldetails"":""23""},{""goaldetails"":""Pjanic ""},{""goaldetails"":""59""},{""goaldetails"":""82""},{""goaldetails"":""Ghoochannejhad""},{""goaldetails"":""Vrsajevic ""},{""goaldetails"":""83""}]"
"1 - 0","http://soccerstats.us/games/250506/","Ruiz 






    

    

44","Friday, June 20, 2014","[{""CountryTeam1"":""Costa Rica""},{""CountryTeam1"":""Italy""}]","[{""Scoredetails"":""44""}]","[{""goaldetails"":""Ruiz ""},{""goaldetails"":""44""}]"
"0 - 1","http://soccerstats.us/games/250532/","29





    
    



Odemwingie","Saturday, June 21, 2014","[{""CountryTeam1"":""Bosnia and Herzegovina""},{""CountryTeam1"":""Nigeria""}]","[{""Scoredetails"":""29""}]","[{""goaldetails"":""29""},{""goaldetails"":""Odemwingie""}]"
"1 - 3","http://soccerstats.us/games/250553/","72





    
    



Marquez 






    

    





    
  
  

    
    
    

    

75





    
    



Guardado 






    

    





    
  
  

    
    
    

    

82





    
    



Hernandez 






    

    





    
  
  

    
    



Perisic 






    

    

87","Monday, June 23, 2014","[{""CountryTeam1"":""Croatia""},{""CountryTeam1"":""Mexico""}]","[{""Scoredetails"":""72""},{""Scoredetails"":""75""},{""Scoredetails"":""82""},{""Scoredetails"":""87""}]","[{""goaldetails"":""72""},{""goaldetails"":""Marquez""},{""goaldetails"":""75""},{""goaldetails"":""Guardado""},{""goaldetails"":""82""},{""goaldetails"":""Hernandez""},{""goaldetails"":""Perisic ""},{""goaldetails"":""87""}]"
"2 - 1","http://soccerstats.us/games/250492/","Rodríguez 






    

    

64





    
    
    

    





    
  
  

    
    



Quintero 






    

    

70





    
    
    

    





    
  
  

    
    
    

    

73





    
    



Gervinho","Thursday, June 19, 2014","[{""CountryTeam1"":""Colombia""},{""CountryTeam1"":""Côte d'Ivoire""}]","[{""Scoredetails"":""64""},{""Scoredetails"":""70""},{""Scoredetails"":""73""}]","[{""goaldetails"":""Rodríguez ""},{""goaldetails"":""64""},{""goaldetails"":""Quintero ""},{""goaldetails"":""70""},{""goaldetails"":""73""},{""goaldetails"":""Gervinho""}]"
"1 - 0","http://soccerstats.us/games/250660/","Di Maria 






    

    

118","Tuesday, July 01, 2014","[{""CountryTeam1"":""Argentina""},{""CountryTeam1"":""Switzerland""}]","[{""Scoredetails"":""118""}]","[{""goaldetails"":""Di Maria ""},{""goaldetails"":""118""}]"
"0 - 4","http://soccerstats.us/games/250486/","11





    
    



Olic 






    

    





    
  
  

    
    
    

    

48





    
    



Perisic 






    

    





    
  
  

    
    
    

    

61





    
    



Mandzukic 






    

    





    
  
  

    
    
    

    

73





    
    



Mandzukic","Wednesday, June 18, 2014","[{""CountryTeam1"":""Cameroon""},{""CountryTeam1"":""Croatia""}]","[{""Scoredetails"":""11""},{""Scoredetails"":""48""},{""Scoredetails"":""61""},{""Scoredetails"":""73""}]","[{""goaldetails"":""11""},{""goaldetails"":""Olic""},{""goaldetails"":""48""},{""goaldetails"":""Perisic""},{""goaldetails"":""61""},{""goaldetails"":""Mandzukic""},{""goaldetails"":""73""},{""goaldetails"":""Mandzukic""}]"
"2 - 1","http://soccerstats.us/games/250460/","Kolasinac 


Own Goal





    

    

3





    
    
    

    





    
  
  

    
    



Messi 






    

    

65





    
    
    

    





    
  
  

    
    
    

    

84





    
    



Ibisevic","Sunday, June 15, 2014","[{""CountryTeam1"":""Argentina""},{""CountryTeam1"":""Bosnia and Herzegovina""}]","[{""Scoredetails"":""3""},{""Scoredetails"":""65""},{""Scoredetails"":""84""}]","[{""goaldetails"":""Kolasinac ""},{""goaldetails"":""Own Goal""},{""goaldetails"":""3""},{""goaldetails"":""Messi ""},{""goaldetails"":""65""},{""goaldetails"":""84""},{""goaldetails"":""Ibisevic""}]"
"1 - 2","http://soccerstats.us/games/250649/","dos Santos 






    

    

48





    
    
    

    





    
  
  

    
    
    

    

88





    
    



Sneijder 






    

    





    
  
  

    
    
    

    

90





    
    



Huntelaar","Sunday, June 29, 2014","[{""CountryTeam1"":""Mexico""},{""CountryTeam1"":""Netherlands""}]","[{""Scoredetails"":""48""},{""Scoredetails"":""88""},{""Scoredetails"":""90""}]","[{""goaldetails"":""dos Santos ""},{""goaldetails"":""48""},{""goaldetails"":""88""},{""goaldetails"":""Sneijder""},{""goaldetails"":""90""},{""goaldetails"":""Huntelaar""}]"
"0 - 3","http://soccerstats.us/games/250578/","6





    
    



Shaqiri 






    

    





    
  
  

    
    
    

    

31





    
    



Shaqiri 






    

    





    
  
  

    
    
    

    

71





    
    



Shaqiri","Wednesday, June 25, 2014","[{""CountryTeam1"":""Honduras""},{""CountryTeam1"":""Switzerland""}]","[{""Scoredetails"":""6""},{""Scoredetails"":""31""},{""Scoredetails"":""71""}]","[{""goaldetails"":""6""},{""goaldetails"":""Shaqiri""},{""goaldetails"":""31""},{""goaldetails"":""Shaqiri""},{""goaldetails"":""71""},{""goaldetails"":""Shaqiri""}]"
"1 - 1","http://soccerstats.us/games/250650/","Ruiz 






    

    

52





    
    
    

    





    
  
  

    
    
    

    

90





    
    



Papasthathopoulos","Sunday, June 29, 2014","[{""CountryTeam1"":""Costa Rica""},{""CountryTeam1"":""Greece""}]","[{""Scoredetails"":""52""},{""Scoredetails"":""90""}]","[{""goaldetails"":""Ruiz ""},{""goaldetails"":""52""},{""goaldetails"":""90""},{""goaldetails"":""Papasthathopoulos""}]"
"1 - 7","http://soccerstats.us/games/250739/","11





    
    



Müller 






    

    





    
  
  

    
    
    

    

23





    
    



Klose 






    

    





    
  
  

    
    
    

    

24





    
    



Kroos 






    

    





    
  
  

    
    
    

    

26





    
    



Kroos 






    

    





    
  
  

    
    
    

    

29





    
    



Khedira 






    

    





    
  
  

    
    
    

    

69





    
    



Schurrle 






    

    





    
  
  

    
    
    

    

79





    
    



Schurrle 






    

    





    
  
  

    
    



Oscar 






    

    

90","Tuesday, July 08, 2014","[{""CountryTeam1"":""Brazil""},{""CountryTeam1"":""Germany""}]","[{""Scoredetails"":""11""},{""Scoredetails"":""23""},{""Scoredetails"":""24""},{""Scoredetails"":""26""},{""Scoredetails"":""29""},{""Scoredetails"":""69""},{""Scoredetails"":""79""},{""Scoredetails"":""90""}]","[{""goaldetails"":""11""},{""goaldetails"":""Müller""},{""goaldetails"":""23""},{""goaldetails"":""Klose""},{""goaldetails"":""24""},{""goaldetails"":""Kroos""},{""goaldetails"":""26""},{""goaldetails"":""Kroos""},{""goaldetails"":""29""},{""goaldetails"":""Khedira""},{""goaldetails"":""69""},{""goaldetails"":""Schurrle""},{""goaldetails"":""79""},{""goaldetails"":""Schurrle""},{""goaldetails"":""Oscar ""},{""goaldetails"":""90""}]"
"0 - 0","http://soccerstats.us/games/250472/","","Tuesday, June 17, 2014","[{""CountryTeam1"":""Brazil""},{""CountryTeam1"":""Mexico""}]","[]","[]"
"4 - 0","http://soccerstats.us/games/250462/","Müller 






    

    

12





    
    
    

    





    
  
  

    
    



Hummels 






    

    

32





    
    
    

    





    
  
  

    
    



Müller 






    

    

45





    
    
    

    





    
  
  

    
    



Müller 






    

    

78","Monday, June 16, 2014","[{""CountryTeam1"":""Germany""},{""CountryTeam1"":""Portugal""}]","[{""Scoredetails"":""12""},{""Scoredetails"":""32""},{""Scoredetails"":""45""},{""Scoredetails"":""78""}]","[{""goaldetails"":""Müller ""},{""goaldetails"":""12""},{""goaldetails"":""Hummels ""},{""goaldetails"":""32""},{""goaldetails"":""Müller ""},{""goaldetails"":""45""},{""goaldetails"":""Müller ""},{""goaldetails"":""78""}]"
"1 - 1","http://soccerstats.us/games/250635/","David Luiz 






    

    

18





    
    
    

    





    
  
  

    
    
    

    

32





    
    



Sanchez","Saturday, June 28, 2014","[{""CountryTeam1"":""Brazil""},{""CountryTeam1"":""Chile""}]","[{""Scoredetails"":""18""},{""Scoredetails"":""32""}]","[{""goaldetails"":""David Luiz ""},{""goaldetails"":""18""},{""goaldetails"":""32""},{""goaldetails"":""Sanchez""}]"
"2 - 1","http://soccerstats.us/games/250508/","31





    
    



Costly 






    

    





    
  
  

    
    



E. Valencia 






    

    

34





    
    
    

    





    
  
  

    
    



E. Valencia 






    

    

65","Friday, June 20, 2014","[{""CountryTeam1"":""Ecuador""},{""CountryTeam1"":""Honduras""}]","[{""Scoredetails"":""31""},{""Scoredetails"":""34""},{""Scoredetails"":""65""}]","[{""goaldetails"":""31""},{""goaldetails"":""Costly""},{""goaldetails"":""E. Valencia ""},{""goaldetails"":""34""},{""goaldetails"":""E. Valencia ""},{""goaldetails"":""65""}]"
"2 - 3","http://soccerstats.us/games/250488/","20





    
    



Robben 






    

    





    
  
  

    
    



Cahill 






    

    

21





    
    
    

    





    
  
  

    
    



Jedinak 






    

    

54





    
    
    

    





    
  
  

    
    
    

    

58





    
    



Van Persie 






    

    





    
  
  

    
    
    

    

68





    
    



Memphis","Wednesday, June 18, 2014","[{""CountryTeam1"":""Australia""},{""CountryTeam1"":""Netherlands""}]","[{""Scoredetails"":""20""},{""Scoredetails"":""21""},{""Scoredetails"":""54""},{""Scoredetails"":""58""},{""Scoredetails"":""68""}]","[{""goaldetails"":""20""},{""goaldetails"":""Robben""},{""goaldetails"":""Cahill ""},{""goaldetails"":""21""},{""goaldetails"":""Jedinak ""},{""goaldetails"":""54""},{""goaldetails"":""58""},{""goaldetails"":""Van Persie""},{""goaldetails"":""68""},{""goaldetails"":""Memphis""}]"
"2 - 1","http://soccerstats.us/games/250661/","De Bruyne 






    

    

93





    
    
    

    





    
  
  

    
    



Lukaku 






    

    

105





    
    
    

    





    
  
  

    
    
    

    

107





    
    



Green","Tuesday, July 01, 2014","[{""CountryTeam1"":""Belgium""},{""CountryTeam1"":""United States""}]","[{""Scoredetails"":""93""},{""Scoredetails"":""105""},{""Scoredetails"":""107""}]","[{""goaldetails"":""De Bruyne ""},{""goaldetails"":""93""},{""goaldetails"":""Lukaku ""},{""goaldetails"":""105""},{""goaldetails"":""107""},{""goaldetails"":""Green""}]"
"3 - 0","http://soccerstats.us/games/250442/","Armero 






    

    

5





    
    
    

    





    
  
  

    
    



Gutiérrez 






    

    

58





    
    
    

    





    
  
  

    
    



Rodríguez 






    

    

90","Saturday, June 14, 2014","[{""CountryTeam1"":""Colombia""},{""CountryTeam1"":""Greece""}]","[{""Scoredetails"":""5""},{""Scoredetails"":""58""},{""Scoredetails"":""90""}]","[{""goaldetails"":""Armero ""},{""goaldetails"":""5""},{""goaldetails"":""Gutiérrez ""},{""goaldetails"":""58""},{""goaldetails"":""Rodríguez ""},{""goaldetails"":""90""}]"
"1 - 2","http://soccerstats.us/games/250458/","E. Valencia 






    

    

22





    
    
    

    





    
  
  

    
    
    

    

48





    
    



Mehmedi 






    

    





    
  
  

    
    
    

    

90





    
    



Seferovic","Sunday, June 15, 2014","[{""CountryTeam1"":""Ecuador""},{""CountryTeam1"":""Switzerland""}]","[{""Scoredetails"":""22""},{""Scoredetails"":""48""},{""Scoredetails"":""90""}]","[{""goaldetails"":""E. Valencia ""},{""goaldetails"":""22""},{""goaldetails"":""48""},{""goaldetails"":""Mehmedi""},{""goaldetails"":""90""},{""goaldetails"":""Seferovic""}]"
"0 - 0","http://soccerstats.us/games/250752/","","Wednesday, July 09, 2014","[{""CountryTeam1"":""Argentina""},{""CountryTeam1"":""Netherlands""}]","[]","[]"
"1 - 0","http://soccerstats.us/games/250587/","Müller 






    

    

55","Thursday, June 26, 2014","[{""CountryTeam1"":""Germany""},{""CountryTeam1"":""United States""}]","[{""Scoredetails"":""55""}]","[{""goaldetails"":""Müller ""},{""goaldetails"":""55""}]"
"1 - 1","http://soccerstats.us/games/250590/","6





    
    



Kokorin 






    

    





    
  
  

    
    



Slimani 






    

    

60","Thursday, June 26, 2014","[{""CountryTeam1"":""Algeria""},{""CountryTeam1"":""Russia""}]","[{""Scoredetails"":""6""},{""Scoredetails"":""60""}]","[{""goaldetails"":""6""},{""goaldetails"":""Kokorin""},{""goaldetails"":""Slimani ""},{""goaldetails"":""60""}]"
"1 - 0","http://soccerstats.us/games/250716/","Higuaín 






    

    

8","Saturday, July 05, 2014","[{""CountryTeam1"":""Argentina""},{""CountryTeam1"":""Belgium""}]","[{""Scoredetails"":""8""}]","[{""goaldetails"":""Higuaín ""},{""goaldetails"":""8""}]"
"0 - 1","http://soccerstats.us/games/250816/","113





    
    



Gotze","Sunday, July 13, 2014","[{""CountryTeam1"":""Argentina""},{""CountryTeam1"":""Germany""}]","[{""Scoredetails"":""113""}]","[{""goaldetails"":""113""},{""goaldetails"":""Gotze""}]"
"3 - 2","http://soccerstats.us/games/250580/","Messi 






    

    

3





    
    
    

    





    
  
  

    
    
    

    

4





    
    



Musa 






    

    





    
  
  

    
    



Messi 






    

    

45





    
    
    

    





    
  
  

    
    
    

    

47





    
    



Musa 






    

    





    
  
  

    
    



Rojo 






    

    

50","Wednesday, June 25, 2014","[{""CountryTeam1"":""Argentina""},{""CountryTeam1"":""Nigeria""}]","[{""Scoredetails"":""3""},{""Scoredetails"":""4""},{""Scoredetails"":""45""},{""Scoredetails"":""47""},{""Scoredetails"":""50""}]","[{""goaldetails"":""Messi ""},{""goaldetails"":""3""},{""goaldetails"":""4""},{""goaldetails"":""Musa""},{""goaldetails"":""Messi ""},{""goaldetails"":""45""},{""goaldetails"":""47""},{""goaldetails"":""Musa""},{""goaldetails"":""Rojo ""},{""goaldetails"":""50""}]"
